Title,Company,Description,ContractType,Skills
Data Engineer,Data Engineers United,Responsible for analyzing complex datasets to derive meaningful insights.,Statutaire,Data Mining - Power BI - Java - JavaScript - SQL Server
Cloud System Integrator,Cloud Innovators,Design and maintain data architectures and pipelines for large scale data processing.,Statutaire,Hive - Data Mining - AWS - Data Visualization - Pig
Cloud Engineer,AMENTYS,Provide technical expertise in data analysis and business intelligence.,CDI,TensorFlow - AWS - GCP - Spark
Data Governance Lead,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Manage data warehouses and optimize query performance.,Stage,GCP - Numpy - Data Architecture
AZURE Solutions Architect,Future Data,Design and maintain data architectures and pipelines for large scale data processing.,CDI,Hive - Docker - R - SQL Server - Oracle
Data Consultant,AMENTYS,Provide technical expertise in data analysis and business intelligence.,Statutaire,Numpy - JavaScript - Azure - Power BI
Big Data Engineer,Data Analytics Co.,Develop scalable and secure cloud-based data solutions.,Freelance,SQL Server - Pig - Tableau
Machine Learning Engineer,Cloud Innovators,Design and maintain data architectures and pipelines for large scale data processing.,Freelance,Power BI - Java - TensorFlow
Data Analyst,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Provide technical expertise in data analysis and business intelligence.,Stage,Data Governance - Hadoop - Numpy - Business Intelligence
Sales Manager,HRS HOSPITALITY & RETAIL SYSTEMS,Leading the development of machine learning models to optimize business processes.,Freelance,Pandas - Spark - Data Visualization - Data Architecture - Machine Learning
Big Data Engineer,Data Analytics Co.,Leading the development of machine learning models to optimize business processes.,Stage,Power BI - Hive - Deep Learning - Business Intelligence - SQL
Business Intelligence Analyst,Data Engineers United,Provide technical expertise in data analysis and business intelligence.,Freelance,Machine Learning - R - Scikit-learn - Data Architecture - Deep Learning
Cloud System Administrator,Future Data,Work on data integration and ETL processes to ensure data quality.,Freelance,R - Data Architecture - Machine Learning
Cloud System Integrator,AI Pioneers,Develop and deploy machine learning algorithms to solve complex problems.,Freelance,Oracle - Business Intelligence - Data Mining
Data Governance Lead,Data Engineers United,Manage data warehouses and optimize query performance.,CDI,Java - Keras - Machine Learning - Oracle
Cyber Security Engineer,Data Driven,Responsible for analyzing complex datasets to derive meaningful insights.,Statutaire,TensorFlow - Hadoop - Pig - Spark
Cloud Data Engineer,Tech Solutions,Implement data governance frameworks and ensure compliance with data regulations.,CDD,Business Intelligence - JavaScript - Data Mining
Cloud Data Engineer,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Manage data warehouses and optimize query performance.,Stage,Pig - Data Mining - Scikit-learn - Spark
Data Consultant,AFRICASHORE,Develop scalable and secure cloud-based data solutions.,CDD,Numpy - NoSQL - Kubernetes - SQL
Chef de Département,Cloud Innovators,Develop and deploy machine learning algorithms to solve complex problems.,Statutaire,Deep Learning - AWS - Hive - SQL Server
SWIFT Developer,Machine Learning Labs,Develop and deploy machine learning algorithms to solve complex problems.,CDD,NoSQL - Business Intelligence - Data Governance
Cyber Security Engineer,HRS HOSPITALITY & RETAIL SYSTEMS,Develop scalable and secure cloud-based data solutions.,CDD,Docker - Java - Data Mining - SQL - Machine Learning
Cloud System Administrator,Tech Innovators,Design and maintain data architectures and pipelines for large scale data processing.,CDD,Big Data - Hadoop - Scikit-learn - Node.js
PHP Developer,Data Driven,Collaborate with stakeholders to implement data-driven strategies.,CDD,Python - SQL - Machine Learning - GCP - Azure
Sales Manager,Machine Learning Labs,Design and maintain data architectures and pipelines for large scale data processing.,Stage,Scikit-learn - Numpy - Power BI - Data Mining - AWS
Chef de Département,Data Engineers United,Leading the development of machine learning models to optimize business processes.,CDD,SQL Server - Python - Java - Tableau - SQL
Consultant SAP,AI Pioneers,Collaborate with stakeholders to implement data-driven strategies.,CDI,Pig - Pandas - SQL Server
Big Data Engineer,AMENTYS,Provide technical expertise in data analysis and business intelligence.,CDI,Power BI - Machine Learning - Cloud Computing - Docker
Business Intelligence Analyst,AMENTYS,Manage data warehouses and optimize query performance.,CDI,React - Pandas - Data Governance
Business Intelligence Analyst,Big Data Services,Manage data warehouses and optimize query performance.,Statutaire,Data Visualization - Kubernetes - Deep Learning - R - Cloud Computing
Cloud Data Engineer,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Manage data warehouses and optimize query performance.,CDD,Hadoop - Tableau - Spark
Cloud Engineer,Big Data Services,Design and maintain data architectures and pipelines for large scale data processing.,CDD,Machine Learning - Keras - Python
Big Data Engineer,Big Data Services,Develop and deploy machine learning algorithms to solve complex problems.,CDD,SQL - Big Data - Hive - Python - Spark
SWIFT Developer,DataCorp,Responsible for analyzing complex datasets to derive meaningful insights.,CDD,TensorFlow - GCP - SQL Server - Docker - Numpy
Cloud Engineer,Data Driven,Collaborate with stakeholders to implement data-driven strategies.,CDD,Cloud Computing - Scikit-learn - NoSQL
Machine Learning Engineer,Data Masters,Leading the development of machine learning models to optimize business processes.,Freelance,TensorFlow - Deep Learning - Docker - R - Cloud Computing
Network Architect,Big Data Services,Leading the development of machine learning models to optimize business processes.,Statutaire,Power BI - Pig - Python - JavaScript - SQL
Data Scientist,Machine Learning Labs,Provide technical expertise in data analysis and business intelligence.,Freelance,SQL - Machine Learning - Hadoop - GCP - Tableau
AI Specialist,AMENTYS,Manage data warehouses and optimize query performance.,CDD,JavaScript - Machine Learning - Hive
Data Consultant,AFRICASHORE,Implement data governance frameworks and ensure compliance with data regulations.,CDD,React - Azure - R
Data Engineer,Tech Innovators,Responsible for analyzing complex datasets to derive meaningful insights.,Freelance,GCP - Scikit-learn - Data Architecture - Pig - Node.js
Data Engineer,Future Data,Collaborate with stakeholders to implement data-driven strategies.,CDI,React - Power BI - Machine Learning
Chef de Département,Cloud Innovators,Work on data integration and ETL processes to ensure data quality.,CDD,Node.js - React - Cloud Computing - Python - Scikit-learn
SWIFT Developer,Future Data,Leading the development of machine learning models to optimize business processes.,Stage,Data Governance - Scikit-learn - AWS - Hive
Cloud Data Engineer,AMENTYS,Provide technical expertise in data analysis and business intelligence.,CDI,GCP - R - Keras
Développeur Python,Data Driven,Work on data integration and ETL processes to ensure data quality.,Freelance,Keras - Machine Learning - Data Visualization
Big Data Engineer,Future Data,Leading the development of machine learning models to optimize business processes.,Freelance,Spark - Keras - Data Mining - Cloud Computing
Database Administrator,Cloud Innovators,Leading the development of machine learning models to optimize business processes.,Stage,R - SQL - Docker - AWS - JavaScript
Cloud System Administrator,DataCorp,Design and maintain data architectures and pipelines for large scale data processing.,Stage,Scikit-learn - Spark - Pandas - Big Data - Java
Cloud Data Engineer,Data Analytics Co.,Responsible for analyzing complex datasets to derive meaningful insights.,CDI,Tableau - Deep Learning - React - Pig - Java
Cloud System Integrator,AMENTYS,Implement data governance frameworks and ensure compliance with data regulations.,CDI,Pandas - AWS - Big Data
Consultant SAP,Tech Solutions,Design and maintain data architectures and pipelines for large scale data processing.,CDI,Power BI - NoSQL - Deep Learning
Cloud System Administrator,Data Driven,Responsible for analyzing complex datasets to derive meaningful insights.,Stage,Docker - JavaScript - Tableau - Keras
Data Engineer,Big Data Services,Leading the development of machine learning models to optimize business processes.,Statutaire,Docker - Pig - Scikit-learn - NoSQL - Python
Database Administrator,AI Pioneers,Collaborate with stakeholders to implement data-driven strategies.,Statutaire,Power BI - Hive - Data Visualization - Hadoop
Big Data Engineer,Machine Learning Labs,Develop and deploy machine learning algorithms to solve complex problems.,Stage,Kubernetes - AWS - Keras - SQL
PHP Developer,Machine Learning Labs,Implement data governance frameworks and ensure compliance with data regulations.,Statutaire,Spark - Keras - Deep Learning - Hive - Kubernetes
QA Tester,Data Engineers United,Leading the development of machine learning models to optimize business processes.,Statutaire,JavaScript - Cloud Computing - Spark - Scikit-learn
Data Engineer,Big Data Services,Work on data integration and ETL processes to ensure data quality.,Statutaire,NoSQL - Kubernetes - JavaScript
Data Analyst,Big Data Services,Develop and deploy machine learning algorithms to solve complex problems.,CDI,R - Spark - Azure - Python
Data Architect,Future Data,Provide technical expertise in data analysis and business intelligence.,Freelance,Data Architecture - Spark - Cloud Computing - React - Hadoop
NODE.JS Developer,Future Data,Manage data warehouses and optimize query performance.,Freelance,Hadoop - React - Node.js - JavaScript
Network Architect,Data Engineers United,Design and maintain data architectures and pipelines for large scale data processing.,Stage,Hive - Data Governance - TensorFlow - Data Architecture - Spark
PHP Developer,AI Pioneers,Develop and deploy machine learning algorithms to solve complex problems.,Freelance,NoSQL - Node.js - Data Visualization - Data Governance - Deep Learning
Cloud Engineer,AMENTYS,Develop and deploy machine learning algorithms to solve complex problems.,Statutaire,Scikit-learn - Numpy - TensorFlow
Data Analyst,Tech Innovators,Leading the development of machine learning models to optimize business processes.,CDI,Big Data - NoSQL - Pandas - Pig
Data Governance Lead,Data Analytics Co.,Design and maintain data architectures and pipelines for large scale data processing.,Statutaire,Keras - Pig - Kubernetes - Java - Node.js
AZURE Solutions Architect,Data Driven,Leading the development of machine learning models to optimize business processes.,Freelance,Oracle - Node.js - Python - Scikit-learn
Cloud System Integrator,DataCorp,Manage data warehouses and optimize query performance.,CDI,Python - Kubernetes - Big Data - TensorFlow - Data Visualization
REACT Developer,AFRICASHORE,Provide technical expertise in data analysis and business intelligence.,CDI,TensorFlow - Java - Cloud Computing - Scikit-learn
QA Tester,Tech Innovators,Design and maintain data architectures and pipelines for large scale data processing.,Freelance,Keras - Business Intelligence - Numpy - Machine Learning - Docker
Chef de Département,AMENTYS,Design and maintain data architectures and pipelines for large scale data processing.,Statutaire,Python - Oracle - Azure - Keras - Hadoop
Chef de Département,AFRICASHORE,Collaborate with stakeholders to implement data-driven strategies.,Freelance,Pandas - Java - Hadoop
QA Tester,Data Driven,Design and maintain data architectures and pipelines for large scale data processing.,Stage,Big Data - TensorFlow - React - Numpy
Machine Learning Engineer,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Responsible for analyzing complex datasets to derive meaningful insights.,Stage,Numpy - Machine Learning - AWS - React
Cloud System Administrator,DataCorp,Manage data warehouses and optimize query performance.,CDD,Java - Hadoop - Hive
Chef de Département,DataCorp,Develop and deploy machine learning algorithms to solve complex problems.,Stage,Data Mining - Python - Keras - TensorFlow - Cloud Computing
Sales Manager,Data Masters,Design and maintain data architectures and pipelines for large scale data processing.,Stage,SQL Server - Docker - Data Mining - Hive - Data Architecture
PHP Developer,Data Analytics Co.,Develop and deploy machine learning algorithms to solve complex problems.,Statutaire,Hadoop - NoSQL - Kubernetes
Data Consultant,Machine Learning Labs,Responsible for analyzing complex datasets to derive meaningful insights.,Stage,Data Mining - R - GCP - Docker - AWS
AZURE Solutions Architect,HRS HOSPITALITY & RETAIL SYSTEMS,Responsible for analyzing complex datasets to derive meaningful insights.,Stage,Business Intelligence - Big Data - Data Architecture - Node.js - Machine Learning
NODE.JS Developer,AI Pioneers,Implement data governance frameworks and ensure compliance with data regulations.,Statutaire,Hive - Data Visualization - Data Mining
Business Intelligence Analyst,Cloud Innovators,Work on data integration and ETL processes to ensure data quality.,Stage,Data Architecture - Keras - Business Intelligence - Data Governance - Hadoop
Consultant SAP,Data Masters,Develop and deploy machine learning algorithms to solve complex problems.,Statutaire,Kubernetes - R - Pandas - AWS
Network Architect,AFRICASHORE,Design and maintain data architectures and pipelines for large scale data processing.,CDD,Business Intelligence - Hadoop - Cloud Computing - Data Governance - JavaScript
SWIFT Developer,AFRICASHORE,Work on data integration and ETL processes to ensure data quality.,Stage,SQL - Spark - TensorFlow - Python
Data Governance Lead,Data Engineers United,Leading the development of machine learning models to optimize business processes.,Statutaire,Pig - SQL - React - Scikit-learn - Data Mining
AI Specialist,AFRICASHORE,Leading the development of machine learning models to optimize business processes.,CDD,Big Data - Hadoop - Spark - Numpy
AI Specialist,AMENTYS,Develop and deploy machine learning algorithms to solve complex problems.,CDD,Docker - TensorFlow - Kubernetes - Pig
Data Engineer,Data Engineers United,Develop scalable and secure cloud-based data solutions.,Stage,JavaScript - Data Governance - Numpy - React - Data Visualization
SWIFT Developer,Big Data Services,Develop scalable and secure cloud-based data solutions.,Statutaire,Node.js - NoSQL - Java
QA Tester,Future Data,Work on data integration and ETL processes to ensure data quality.,Statutaire,Power BI - Big Data - SQL
REACT Developer,Future Data,Leading the development of machine learning models to optimize business processes.,Freelance,Python - Numpy - Data Governance - Pandas
AWS Cloud Architect,Future Data,Leading the development of machine learning models to optimize business processes.,Statutaire,Big Data - Tableau - Spark
Data Analyst,Data Driven,Work on data integration and ETL processes to ensure data quality.,Stage,Scikit-learn - Data Governance - Hive - Node.js
Data Architect,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Design and maintain data architectures and pipelines for large scale data processing.,Stage,Keras - Pig - R
Sales Manager,Cloud Innovators,Design and maintain data architectures and pipelines for large scale data processing.,Freelance,TensorFlow - Data Governance - Data Architecture - NoSQL
PHP Developer,DataCorp,Design and maintain data architectures and pipelines for large scale data processing.,Statutaire,Business Intelligence - Cloud Computing - Docker
REACT Developer,Data Analytics Co.,Work on data integration and ETL processes to ensure data quality.,CDD,Big Data - JavaScript - Numpy
Data Scientist,AMENTYS,Implement data governance frameworks and ensure compliance with data regulations.,CDD,Java - R - NoSQL - Azure
Cloud System Administrator,DataCorp,Provide technical expertise in data analysis and business intelligence.,CDI,Data Architecture - Data Governance - Node.js - TensorFlow
Data Engineer,Tech Innovators,Develop and deploy machine learning algorithms to solve complex problems.,Statutaire,JavaScript - React - Data Mining - Node.js - Hive
Data Architect,HRS HOSPITALITY & RETAIL SYSTEMS,Provide technical expertise in data analysis and business intelligence.,Statutaire,TensorFlow - Deep Learning - Oracle - Data Visualization - NoSQL
Data Scientist,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Responsible for analyzing complex datasets to derive meaningful insights.,Freelance,NoSQL - Azure - Pig - Spark - Java
Data Governance Lead,Future Data,Responsible for analyzing complex datasets to derive meaningful insights.,CDD,Node.js - AWS - Pandas - Oracle - Hive
Database Administrator,Data Driven,Leading the development of machine learning models to optimize business processes.,CDD,Data Mining - Data Governance - Tableau - Node.js - JavaScript
Database Administrator,Data Masters,Develop scalable and secure cloud-based data solutions.,Statutaire,Numpy - SQL Server - Python
Cloud Data Engineer,Data Driven,Implement data governance frameworks and ensure compliance with data regulations.,CDI,Scikit-learn - Docker - Azure - Node.js - Data Mining
Data Scientist,AMENTYS,Work on data integration and ETL processes to ensure data quality.,Statutaire,Data Architecture - SQL Server - Pandas - React - NoSQL
Consultant SAP,Data Engineers United,Develop scalable and secure cloud-based data solutions.,Stage,R - Tableau - Scikit-learn - Keras
Data Consultant,Tech Solutions,Develop scalable and secure cloud-based data solutions.,Freelance,AWS - Data Governance - Hive
Cloud System Administrator,HRS HOSPITALITY & RETAIL SYSTEMS,Provide technical expertise in data analysis and business intelligence.,Stage,Data Architecture - Business Intelligence - Data Visualization
Big Data Engineer,DataCorp,Implement data governance frameworks and ensure compliance with data regulations.,CDD,Spark - Pig - Oracle
Cyber Security Engineer,Tech Innovators,Collaborate with stakeholders to implement data-driven strategies.,Freelance,Data Governance - Numpy - Big Data
PHP Developer,Future Data,Collaborate with stakeholders to implement data-driven strategies.,Freelance,Docker - Data Governance - TensorFlow
AI Specialist,Tech Solutions,Develop and deploy machine learning algorithms to solve complex problems.,Statutaire,Power BI - TensorFlow - Deep Learning
Sales Manager,Future Data,Manage data warehouses and optimize query performance.,Freelance,Scikit-learn - Keras - Power BI - Deep Learning - Kubernetes
Cloud Data Engineer,HRS HOSPITALITY & RETAIL SYSTEMS,Provide technical expertise in data analysis and business intelligence.,CDI,React - JavaScript - SQL - AWS - SQL Server
Big Data Engineer,Data Analytics Co.,Develop and deploy machine learning algorithms to solve complex problems.,CDD,TensorFlow - Data Architecture - R - Deep Learning
